,nombreestablecimiento,direccion,direccion-completa,direccion-corregida,coordenada
1426,COL HNAS MISIONERAS DE LA CONSOLATA                                                                 ,KR 24 B 1 B 12,"KR 24 B 1 B 12,Bogota,Colombia","CARRERA 24 B 1 B 12,Bogota,Colombia","(4.5965595, -74.0968477)"
1427,GIMN SANTO ANGEL,CL 23 B 81 A 95,"CL 23 B 81 A 95,Bogota,Colombia","CALLE 23 B 81 A 95,Bogota,Colombia","(4.6667691, -74.1252313)"
1428,COL PARROQ SANTO CURA DE ARS LA FRAGUA                                                              ,KR 31 15 08 SUR,"KR 31 15 08 SUR,Bogota,Colombia","CARRERA 31 15 08 SUR,Bogota,Colombia","(4.6013074, -74.10397379999999)"
1429,COL PARROQ ADVENIAT                                                                                 ,CL 39 A SUR 5 25 ESTE,"CL 39 A SUR 5 25 ESTE,Bogota,Colombia","CALLE 39 A SUR 5 25 ESTE,Bogota,Colombia","(4.5603476, -74.1027941)"
1430,ROYAL AMERICAN GARDEN (COLEGIO REAL AMERICANO)                                                      ,CL 55 76 51,"CL 55 76 51,Bogota,Colombia","CALLE 55 76 51,Bogota,Colombia","(4.6414293, -74.06248049999999)"
1431,JARD PSICOPEDAG CARRUSEL DEL SABER JUGANDO                                                          ,CR. 106 NO.19-16,"CR. 106 NO.19-16,Bogota,Colombia","CR. 106 NO.19-16,Bogota,Colombia","(4.6785733, -74.1470545)"
1432,LIC GOLDEN RULE                                                                                     ,CL 142 A 128 50,"CL 142 A 128 50,Bogota,Colombia","CALLE 142 A 128 50,Bogota,Colombia","(4.7474443, -74.11074789999999)"
1433,COL MONSERRATE                                                                                      ,KR 32 89 08,"KR 32 89 08,Bogota,Colombia","CARRERA 32 89 08,Bogota,Colombia","(4.6278388, -74.0834328)"
1434,INST VILLA DE LA FRATERNIDAD                                                                        ,KR 11 A 32 A 24 SUR,"KR 11 A 32 A 24 SUR,Bogota,Colombia","CARRERA 11 A 32 A 24 SUR,Bogota,Colombia","(4.5930913, -74.0841188)"
1435,COLEGIO MONTEHELENA,KR 15 54 14,"KR 15 54 14,Bogota,Colombia","CARRERA 15 54 14,Bogota,Colombia","(4.641516699999999, -74.067093)"
1436,JARD INF MI ABUELA SILVANA                                                                          ,CL 40 SUR 31 24,"CL 40 SUR 31 24,Bogota,Colombia","CALLE 40 SUR 31 24,Bogota,Colombia","(4.585995200000001, -74.1276514)"
1437,MATERNAL Y JARD INF LA ARDILLITA ESCOLAR                                                            ,IND TR. 47 NO.96-61,"IND TR. 47 NO.96-61,Bogota,Colombia","IND TR. 47 NO.96-61,Bogota,Colombia","(4.6224791, -74.1080622)"
1438,COL PSICOPEDAG JUANITO BOSCO                                                                        ,KR 1 42 A 43 SUR,"KR 1 42 A 43 SUR,Bogota,Colombia","CARRERA 1 42 A 43 SUR,Bogota,Colombia","(4.549792399999999, -74.09941119999999)"
1439,COLEGIO DIEGO MONTAÑA CUÉLLAR (IED),KR 2 ESTE 101 A 01 SUR,"KR 2 ESTE 101 A 01 SUR,Bogota,Colombia","CARRERA 2 ESTE 101 A 01 SUR,Bogota,Colombia","(4.5852984, -74.0877053)"
1440,COL PARROQ SAN LUIS GONZAGA                                                                         ,CL 40 SUR 23 C 50,"CL 40 SUR 23 C 50,Bogota,Colombia","CALLE 40 SUR 23 C 50,Bogota,Colombia","(4.5801617, -74.1207621)"
1441,JARD INF EL HOGAR QUE SOÑE                                                                          ,CL 132 38 33,"CL 132 38 33,Bogota,Colombia","CALLE 132 38 33,Bogota,Colombia","(4.718243999999999, -74.05514)"
1442,COL TRIANGULO CHAPINERO,IND AV. CARACAS NO. 67-33 PS.2,"IND AV. CARACAS NO. 67-33 PS.2,Bogota,Colombia","IND AV. CARACAS NO. 67-33 PS.2,Bogota,Colombia","(4.6544406, -74.0635865)"
1443,GIMN DEIVS                                                                            ,CR.   59 NO. 173-82,"CR.   59 NO. 173-82,Bogota,Colombia","CR.   59 NO. 173-82,Bogota,Colombia","(4.7528055, -74.04231550000002)"
1444,COLEGIO RUR LOS ANDES (CED),KM 15 VIA USME SAN JUAN DE SUMAPAZ,"KM 15 VIA USME SAN JUAN DE SUMAPAZ,Bogota,Colombia","KM 15 VIA USME SAN JUAN DE SUMAPAZ,Bogota,Colombia","(4.02945, -74.31407999999999)"
1445,COL GIOVANNI PASCOLI (ANTIGUO COL NSTRA SRA DE LOS DOLORES)                                         ,KR 17 187 60,"KR 17 187 60,Bogota,Colombia","CARRERA 17 187 60,Bogota,Colombia","(4.765522799999999, -74.0379813)"
1446,GIMNASIO BURBUJAS DE SABIDURIA,CL 143 111 82,"CL 143 111 82,Bogota,Colombia","CALLE 143 111 82,Bogota,Colombia","(4.748255599999999, -74.1012733)"
1447,COL LUIS MARIANO                                                                                    ,CL 64 A 116 C 15,"CL 64 A 116 C 15,Bogota,Colombia","CALLE 64 A 116 C 15,Bogota,Colombia","(4.7113547, -74.1398629)"
1448,COL ANGLO AMERICANO                                                                                 ,CL 170 8 80,"CL 170 8 80,Bogota,Colombia","CALLE 170 8 80,Bogota,Colombia","(4.747585, -74.0285464)"
1449,COLEGIO SIERRA MORENA (IED),CL 77 A SUR 65 01,"CL 77 A SUR 65 01,Bogota,Colombia","CALLE 77 A SUR 65 01,Bogota,Colombia","(4.540774, -74.1469712)"
1450,COLOMBO BRITANICO - BILINGÜE INTERNACIONAL,IND AEROPUERTO GUAYMARAL COSTADO SUR OCCIDENTAL,"IND AEROPUERTO GUAYMARAL COSTADO SUR OCCIDENTAL,Bogota,Colombia","IND AEROPUERTO GUAYMARAL COSTADO SUR OCCIDENTAL,Bogota,Colombia","(4.8127067, -74.0636095)"
1451,PREESC INTEGRAL                                                                                     ,CLL. 38B SUR NO.43-32,"CLL. 38B SUR NO.43-32,Bogota,Colombia","CLL. 38B SUR NO.43-32,Bogota,Colombia","(4.6010466, -74.13121509999999)"
1452,INST MILIT ANTONIO RICAURTE                                                                         ,KR 8 47 52,"KR 8 47 52,Bogota,Colombia","CARRERA 8 47 52,Bogota,Colombia","(4.6344032, -74.0643274)"
1453,LICEO MODERNO IMCREA,KR 78 K 50 41,"KR 78 K 50 41,Bogota,Colombia","CARRERA 78 K 50 41,Bogota,Colombia","(4.6134221, -74.1686711)"
1454,JARD INF SAN GABRIEL ARCANGEL                                                                       ,CR 40 NO. 106-13,"CR 40 NO. 106-13,Bogota,Colombia","CARRERA 40 NO. 106-13,Bogota,Colombia","(4.6063006, -74.11484039999999)"
1455,CENT EDUC DIST CAFAM LA ESPERANZA,CL 75 BIS SUR 79 51,"CL 75 BIS SUR 79 51,Bogota,Colombia","CALLE 75 BIS SUR 79 51,Bogota,Colombia","(4.6092844, -74.203705)"
1456,LIC INTEGRAL VALENTINA                                                                              ,DG 39 SUR 1 B 09 ESTE,"DG 39 SUR 1 B 09 ESTE,Bogota,Colombia","DIAGONAL 39 SUR 1 B 09 ESTE,Bogota,Colombia","(4.5528301, -74.097928)"
1457,I.E. JUVENTUD UNIDA FEMENINA ,KR 28 78 44,"KR 28 78 44,Bogota,Colombia","CARRERA 28 78 44,Bogota,Colombia","(4.6701256, -74.0657508)"
1458,GIMNASIO ESPECIALIZADO LA CAMPIÑA DE SUBA,CL 147 94 A 26,"CL 147 94 A 26,Bogota,Colombia","CALLE 147 94 A 26,Bogota,Colombia","(4.7424404, -74.08619639999999)"
1459,GIMN FONTANA                                                                                        ,CL 221 108 20,"CL 221 108 20,Bogota,Colombia","CALLE 221 108 20,Bogota,Colombia","(4.8030979, -74.06298989999999)"
1460,LIC INF SALAMANCA                                                                                   ,CLL. 21 NO.94-54,"CLL. 21 NO.94-54,Bogota,Colombia","CLL. 21 NO.94-54,Bogota,Colombia","(4.6080002, -74.07227999999999)"
1461,GIMN PSICOPEDAG PERSONALIZADO E INTEGRAL                                                            ,KR 73 A 10 B 82,"KR 73 A 10 B 82,Bogota,Colombia","CARRERA 73 A 10 B 82,Bogota,Colombia","(4.643258299999999, -74.1371138)"
1462,GIMN CECIL REDDIE                                                                                   ,TV 28 A 36 56,"TV 28 A 36 56,Bogota,Colombia","TV 28 A 36 56,Bogota,Colombia","(4.6260806, -74.0776746)"
1463,COL EL GRAN BRITALIA                                                                                ,CL 54 SUR 81 H 15,"CL 54 SUR 81 H 15,Bogota,Colombia","CALLE 54 SUR 81 H 15,Bogota,Colombia","(4.620229999999999, -74.1772368)"
1464,FUNDACIÓN DE EDUCACION EDUARDO ESCOVAR GONZALEZ  FUNDEEG  INSTITUTO DE BACHILLERATO POR CICLOS IBAC,CL 146 A 94 D 19,"CL 146 A 94 D 19,Bogota,Colombia","CALLE 146 A 94 D 19,Bogota,Colombia","(4.7407948, -74.08752009999999)"
1465,JARDIN INFANTIL EL SAPITO PITO,KR 91 135 72,"KR 91 135 72,Bogota,Colombia","CARRERA 91 135 72,Bogota,Colombia","(4.7339861, -74.0857529)"
1466,COLEGIO RUR QUIBA ALTA (IED),KM 24 VIA QUIBA,"KM 24 VIA QUIBA,Bogota,Colombia","KM 24 VIA QUIBA,Bogota,Colombia","(4.5294122, -74.1670382)"
1467,INST TEC CIAL CERROS DE SUBA                                                                        ,KR 100 A 139 53,"KR 100 A 139 53,Bogota,Colombia","CARRERA 100 A 139 53,Bogota,Colombia","(4.7404794, -74.0935425)"
1468,COL MARIO BENEDETTI                                                                                 ,KR 112 136 35,"KR 112 136 35,Bogota,Colombia","CARRERA 112 136 35,Bogota,Colombia","(4.741585, -74.1039572)"
1469,LIC COQUIBACOA                                                                                      ,CL 33 SUR 44 47,"CL 33 SUR 44 47,Bogota,Colombia","CALLE 33 SUR 44 47,Bogota,Colombia","(4.6021995, -74.1267578)"
1470,JARD INF EL PEQUEÑO INVESTIGADOR,KR 116 B 80 A 69,"KR 116 B 80 A 69,Bogota,Colombia","CARRERA 116 B 80 A 69,Bogota,Colombia","(4.7263296, -74.1217594)"
1471,COL ALFONSO LOPEZ PUMAREJO                                                                          ,KR 7 A ESTE 94 27 SUR,"KR 7 A ESTE 94 27 SUR,Bogota,Colombia","CARRERA 7 A ESTE 94 27 SUR,Bogota,Colombia","(4.6656353, -74.0239615)"
1472,CENT EDUC DIST LA GIRALDA,AC 1 3 60,"AC 1 3 60,Bogota,Colombia","AC 1 3 60,Bogota,Colombia","(4.588967999999999, -74.08438129999999)"
1473,COL INST INSCAP SEDE FERIAS                                                                         ,AC 72 70 51,"AC 72 70 51,Bogota,Colombia","AC 72 70 51,Bogota,Colombia","(4.6781065, -74.0862785)"
1474,LICEO CULTURAL LUIS ENRIQUE OSORIO,CL 67 SUR 87 P 16,"CL 67 SUR 87 P 16,Bogota,Colombia","CALLE 67 SUR 87 P 16,Bogota,Colombia","(4.623989, -74.1943484)"
1475,JARDIN INFANTIL GENIOS DEL FUTURO,CL 59 BIS SUR 45 D 51,"CL 59 BIS SUR 45 D 51,Bogota,Colombia","CALLE 59 BIS SUR 45 D 51,Bogota,Colombia","(4.5764774, -74.15250499999999)"
1476,COL ANTONIO VIVALDI                                                                                 ,CLL. 43 SUR NO.14-32,"CLL. 43 SUR NO.14-32,Bogota,Colombia","CLL. 43 SUR NO.14-32,Bogota,Colombia","(4.5688934, -74.11680489999999)"
1477,COL TRIANGULO PALOQUEMAO                                                                            ,KR 29 13 10 PI 2 3 Y 4,"KR 29 13 10 PI 2 3 Y 4,Bogota,Colombia","CARRERA 29 13 10 PI 2 3 Y 4,Bogota,Colombia","(4.710988599999999, -74.072092)"
1478,JARD INF SANTA MARTHA,CL 55 A SUR 104 D 14,"CL 55 A SUR 104 D 14,Bogota,Colombia","CALLE 55 A SUR 104 D 14,Bogota,Colombia","(4.5571359, -74.12653619999999)"
1479,CENT PANAMERICANO DE CAPACITACION SEDE CHAPINERO,CL 62 13 A 09,"CL 62 13 A 09,Bogota,Colombia","CALLE 62 13 A 09,Bogota,Colombia","(4.6489093, -74.0643042)"
1480,COLEGIO SAN RAFAEL (IED),CL 42 B SUR 78 I 05,"CL 42 B SUR 78 I 05,Bogota,Colombia","CALLE 42 B SUR 78 I 05,Bogota,Colombia","(4.6170393, -74.16154519999999)"
1481,COL PARROQ DE NSTRA SEÑORA                                                                          ,CL 31 B 23 60 SUR,"CL 31 B 23 60 SUR,Bogota,Colombia","CALLE 31 B 23 60 SUR,Bogota,Colombia","(4.5819956, -74.1136054)"
1482,LIC INF LE FOUNTAIN                                                                                 ,CL 48 D SUR 9 33,"CL 48 D SUR 9 33,Bogota,Colombia","CALLE 48 D SUR 9 33,Bogota,Colombia","(4.5608277, -74.11366799999999)"
1483,COLEGIO ALFREDO IRIARTE (IED),KR 5 J 48 J 01 SUR,"KR 5 J 48 J 01 SUR,Bogota,Colombia","CARRERA 5 J 48 J 01 SUR,Bogota,Colombia","(4.5555721, -74.1128585)"
1484,COLEGIO ENRIQUE OLAYA HERRERA (IED),KR 10 31 29 SUR,"KR 10 31 29 SUR,Bogota,Colombia","CARRERA 10 31 29 SUR,Bogota,Colombia","(4.5683931, -74.10215629999999)"
1485,EL FARO PREESCOLAR,KR 7 B 138 05,"KR 7 B 138 05,Bogota,Colombia","CARRERA 7 B 138 05,Bogota,Colombia","(4.7156873, -74.03088439999999)"
1486,CENT CIAL DE EDUC MEDIA MARGARITA BOSCO                                                             ,AC 63 73 A 44,"AC 63 73 A 44,Bogota,Colombia","AC 63 73 A 44,Bogota,Colombia","(4.6672932, -74.0955705)"
1487,COL DE NSTRA SRA DE CHIQUINQUIRA FEMENINO                                                           ,CL 63 15 70,"CL 63 15 70,Bogota,Colombia","CALLE 63 15 70,Bogota,Colombia","(4.6501442, -74.06652369999999)"
1488,GIMN REAL AMERICANO ,CL 62 A SUR 91 A 54,"CL 62 A SUR 91 A 54,Bogota,Colombia","CALLE 62 A SUR 91 A 54,Bogota,Colombia","(4.6299454, -74.19523439999999)"
1489,COL DIEGO ANDRES                                                                                    ,KR 21 62 58 SUR,"KR 21 62 58 SUR,Bogota,Colombia","CARRERA 21 62 58 SUR,Bogota,Colombia","(4.6502589, -74.07042659999999)"
1490,JARD INF CASITA DE CHOCOLATE                                                                        ,DG. 53 NO.45-31,"DG. 53 NO.45-31,Bogota,Colombia","DIAGONAL 53 NO.45-31,Bogota,Colombia","(4.5421556, -74.1135579)"
1491,GIMNASIO MODERNO DEL PRADO,KR 88 38 A 18 SUR,"KR 88 38 A 18 SUR,Bogota,Colombia","CARRERA 88 38 A 18 SUR,Bogota,Colombia","(4.710988599999999, -74.072092)"
1492,JARD INF CON 5 ENTIDOS                                                                              ,CL 40 79 10,"CL 40 79 10,Bogota,Colombia","CALLE 40 79 10,Bogota,Colombia","(4.6235319, -74.15743090000001)"
1493,COLEGIO JAIRO ANIBAL NIÑO IED,KR 87 H BIS 39 A 23 SUR,"KR 87 H BIS 39 A 23 SUR,Bogota,Colombia","CARRERA 87 H BIS 39 A 23 SUR,Bogota,Colombia","(4.6368231, -74.16691089999999)"
1494,JARD INF BUENAVISTA,CL 78 SUR 17 F 80,"CL 78 SUR 17 F 80,Bogota,Colombia","CALLE 78 SUR 17 F 80,Bogota,Colombia","(4.54033, -74.1405175)"
1495,GIMN LATINOAMERICANO                                                                                ,CL 67 A SUR 20 F 01,"CL 67 A SUR 20 F 01,Bogota,Colombia","CALLE 67 A SUR 20 F 01,Bogota,Colombia","(4.5299976, -74.1118292)"
1496,GIMN LOS PIRINEOS                                                                                   ,KR 103 D 84 29,"KR 103 D 84 29,Bogota,Colombia","CARRERA 103 D 84 29,Bogota,Colombia","(4.7188414, -74.1105804)"
1497,GIMNASIO OBREGON                                                                                 ,CL 62 BIS SUR 67 19,"CL 62 BIS SUR 67 19,Bogota,Colombia","CALLE 62 BIS SUR 67 19,Bogota,Colombia","(4.591091899999999, -74.15792859999999)"
1498,GIMNASIO INFANTIL MODERNO LA ALEGRIA DE APRENDER,KR 119 63 A 23,"KR 119 63 A 23,Bogota,Colombia","CARRERA 119 63 A 23,Bogota,Colombia","(4.7101131, -74.144335)"
1499,COL ROMELIA GOMEZ GOMEZ                                                                             ,CL 50 SUR 5 71,"CL 50 SUR 5 71,Bogota,Colombia","CALLE 50 SUR 5 71,Bogota,Colombia","(4.5542905, -74.11943099999999)"
1500,COL CASA ACAD CULTURAL,KR 18 35 50,"KR 18 35 50,Bogota,Colombia","CARRERA 18 35 50,Bogota,Colombia","(4.6248081, -74.0726274)"
1501,GIMN BOLIVAR II                                                                                     ,KR 17 D 65 80 SUR,"KR 17 D 65 80 SUR,Bogota,Colombia","CARRERA 17 D 65 80 SUR,Bogota,Colombia","(4.547534, -74.1392777)"
1502,INST AMERICANO DEL NORTE                                                                            ,KR 8 C 182 41,"KR 8 C 182 41,Bogota,Colombia","CARRERA 8 C 182 41,Bogota,Colombia","(4.7597567, -74.03021559999999)"
1503,JARD INF EL MAGICO MUNDO DE LOS NIÑOS                                                               ,KR 59 4 D 35,"KR 59 4 D 35,Bogota,Colombia","CARRERA 59 4 D 35,Bogota,Colombia","(4.6241661, -74.1182997)"
1504,JARD INF POMPIN Y TATARIN                                                                           ,CL 8 69 F 22,"CL 8 69 F 22,Bogota,Colombia","CALLE 8 69 F 22,Bogota,Colombia","(4.6070688, -74.0944432)"
1505,INST MILIT AQUILEO PARRA                                                                            ,KR 70 173 A 50,"KR 70 173 A 50,Bogota,Colombia","CARRERA 70 173 A 50,Bogota,Colombia","(4.7621793, -74.062072)"
1506,CENT EDUC DIST CALASANZ (BUENAVISTA),KR 17 F 77 75 SUR,"KR 17 F 77 75 SUR,Bogota,Colombia","CARRERA 17 F 77 75 SUR,Bogota,Colombia","(4.5404775, -74.1393209)"
1507,INST CULT RAFAEL MAYA                                                                               ,CL 134 A 147 C 07,"CL 134 A 147 C 07,Bogota,Colombia","CALLE 134 A 147 C 07,Bogota,Colombia","(4.7451624, -74.11874279999999)"
1508,JARD INF LA CASITA DEL BOSQUE DE SUBA                                                               ,KR 95 A 138 58 AG 2,"KR 95 A 138 58 AG 2,Bogota,Colombia","CARRERA 95 A 138 58 AG 2,Bogota,Colombia","(4.7379091, -74.0886879)"
1509,COLEGIO AQUILEO PARRA (IED),KR 18 A 187 67,"KR 18 A 187 67,Bogota,Colombia","CARRERA 18 A 187 67,Bogota,Colombia","(4.7668159, -74.03937599999999)"
1510,COLEGIO MARRUECOS Y MOLINOS (IED),CL 49 D BIS SUR 5 X 02,"CL 49 D BIS SUR 5 X 02,Bogota,Colombia","CALLE 49 D BIS SUR 5 X 02,Bogota,Colombia","(4.5552606, -74.1177896)"
1511,COL MI SEGUNDO HOGAR                                                                                ,CL 37 D SUR 72 H 59,"CL 37 D SUR 72 H 59,Bogota,Colombia","CALLE 37 D SUR 72 H 59,Bogota,Colombia","(4.6114882, -74.1419849)"
1512,CENT EDUC DE ADULTOS ASED SEDE 20 DE JULIO                                                          ,KR 5 A 27 38 SUR,"KR 5 A 27 38 SUR,Bogota,Colombia","CARRERA 5 A 27 38 SUR,Bogota,Colombia","(4.567823, -74.09544559999999)"
1513,JARD INF LOS AMIGOS DEL BOSQUE                                                                      ,CL 97 45 16,"CL 97 45 16,Bogota,Colombia","CALLE 97 45 16,Bogota,Colombia","(4.6930166, -74.0791531)"
1514,PREESC TRIANGULO MAGICO DE LOS NIÑOS                                                                ,CL 23 74 B 34,"CL 23 74 B 34,Bogota,Colombia","CALLE 23 74 B 34,Bogota,Colombia","(4.6629904, -74.12295569999999)"
1515,COL REMBRANDT,KR 123 61 43,"KR 123 61 43,Bogota,Colombia","CARRERA 123 61 43,Bogota,Colombia","(4.720776799999999, -74.13378399999999)"
1516,COL FE Y ALEGRIA DANUBIO AZUL                                                                       ,KR 2 ESTE 55 09 SUR,"KR 2 ESTE 55 09 SUR,Bogota,Colombia","CARRERA 2 ESTE 55 09 SUR,Bogota,Colombia","(4.582724199999999, -74.0815096)"
1517,COL COOP VENECIA                                                                                    ,DG 47 A SUR 53 A 95,"DG 47 A SUR 53 A 95,Bogota,Colombia","DIAGONAL 47 A SUR 53 A 95,Bogota,Colombia","(4.5926669, -74.1388061)"
